,Epoch,train_loss,train_triplet_loss,train_mae_loss,val_rmse,test_rmse,train_rmse,n_triplets,n_pos_triplets,train_n_pos_triplets,val_n_pos_triplets,test_n_pos_triplets,seed,backbone,loss
24,125,0.0974780454679771,163.23979955602576,0.0974780454679771,0.6675516963005066,0.7294957637786865,0.2999893426895141,405827,157171,158109,147410,149423,64,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
25,797,0.0068245272448769,138.32390335648148,0.0068245272448769,0.699324905872345,0.7138567566871643,0.0376956537365913,408741,166814,165807,150497,152758,128,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
26,745,0.0054460639120252,134.39154606571904,0.0054460639120252,0.6551372408866882,0.7422654628753662,0.0753178820014,407644,160716,162052,147607,150671,256,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
27,111,0.1296639483835962,165.2146973108362,0.1296639483835962,0.6815389394760132,0.6777493357658386,0.3463377356529236,403579,155773,155528,142203,146091,512,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
28,796,0.0047530209390377,162.18407756664135,0.0047530209390377,0.7428234219551086,0.670927107334137,0.0576273836195468,405308,167235,168566,153565,153691,1024,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
29,115,0.1594946104067343,184.99419544361257,0.1594946104067343,0.699428915977478,0.6376811265945435,0.3884383738040924,406036,154414,151344,135271,138933,2048,GCN,Without AC-awareness ($\mathcal{L}_{mae}$)
30,125,0.1302669115861257,404.4619627549913,0.1302669115861257,0.6877230405807495,0.6932075619697571,0.3216489851474762,406727,167572,165747,152787,142011,8,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
31,225,0.0392125634793882,296.6619722041377,0.0392125634793882,0.6846567988395691,0.6701233983039856,0.153982326388359,408580,165062,165184,142011,150209,16,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
32,393,0.0206610171303704,367.2653878219039,0.0206610171303704,0.7508749961853027,0.7389084696769714,0.1010698899626731,408818,175431,173264,156172,156302,24,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
33,103,0.1323284280520898,294.2024928114149,0.1323284280520898,0.6989325284957886,0.7414717078208923,0.334686130285263,402785,161083,161630,148272,147711,42,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
34,91,0.1466625187132093,395.25297119140623,0.1466625187132093,0.6466302275657654,0.6072773933410645,0.3505125343799591,404510,169824,170094,153076,148722,64,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
35,53,0.2668280779873883,354.9123586697049,0.2668280779873883,0.7333478331565857,0.8123332262039185,0.4983358681201935,404710,158103,161770,138085,143759,128,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
