,Epoch,train_loss,train_triplet_loss,train_mae_loss,val_rmse,test_rmse,train_rmse,n_triplets,n_pos_triplets,train_n_pos_triplets,val_n_pos_triplets,test_n_pos_triplets,seed,backbone,loss
30,141,0.1924498261566515,4.2095283105638295,0.1924498261566515,0.7040125727653503,0.6280850172042847,0.6280850768089294,406988,203144,174840,182199,174840,8,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
31,251,0.141956420386279,3.65115297847324,0.141956420386279,0.6581056118011475,0.7360659837722778,0.7360659837722778,408333,197422,175052,176763,175052,16,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
32,791,0.0935731356232254,2.958311096827189,0.0935731356232254,0.6999150514602661,0.7118511199951172,0.7118511199951172,408384,196251,175765,173165,175765,24,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
33,756,0.072402168655837,3.411777076014766,0.072402168655837,0.6967843770980835,0.6987206339836121,0.6987205743789673,406532,198967,178468,178176,178468,42,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
34,728,0.0804040477342075,3.384957982169257,0.0804040477342075,0.7224521636962891,0.7344995737075806,0.7344995737075806,407627,201183,174825,172311,174825,64,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
35,795,0.0729708114928669,3.255797143865515,0.0729708114928669,0.7366949915885925,0.6687943339347839,0.6687943339347839,409250,203734,172478,173069,172478,128,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
36,604,0.1073530870013766,3.7365773031446663,0.1073530870013766,0.6025168895721436,0.825588047504425,0.825588047504425,407142,203920,189803,172096,189803,256,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
37,85,0.2917522539915861,3.4604388074521664,0.2917522539915861,0.7213907837867737,0.7178196907043457,0.7178196907043457,407592,184755,175289,164449,175289,512,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
38,72,0.2855249942232061,3.9605204409140127,0.2855249942232061,0.6834364533424377,0.6798195242881775,0.6798195242881775,406030,192875,169173,172668,169173,1024,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
39,120,0.2267648374372058,3.7447777401959454,0.2267648374372058,0.6715899705886841,0.7743497490882874,0.7743497490882874,405774,192708,184970,170956,184970,2048,GIN,Without AC-awareness ($\mathcal{L}_{mae}$)
40,580,0.1188925976223415,0.0206314564303115,0.0982611399888992,0.610155463218689,0.5809373259544373,0.5809373259544373,406579,10366,123216,110840,123217,8,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
41,771,0.1134947557581795,0.0185806407475913,0.0949141128747551,0.648705005645752,0.6599265336990356,0.6599260568618774,400223,10169,123162,130979,123162,16,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
42,703,0.1062538816089983,0.0187013664538109,0.0875525141755739,0.670932412147522,0.6841077208518982,0.6841076612472534,406942,10155,129732,137042,129732,24,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
43,58,0.4830859824463173,0.2313773238438147,0.251708645246647,0.692990779876709,0.6584787964820862,0.6584787964820862,404230,67851,135161,143571,135161,42,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
44,598,0.1306999938465931,0.0198205953615683,0.1108793953061103,0.5173273086547852,0.6543596386909485,0.6543596982955933,407165,10729,123884,102469,123884,64,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
45,431,0.153686893372624,0.0276954166342814,0.125991475775286,0.7057373523712158,0.6679148077964783,0.6679150462150574,407585,14348,119858,136228,119858,128,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
46,683,0.1605027847378342,0.0197433832260193,0.1407594001293182,0.594709038734436,0.6593632698059082,0.6593632698059082,403906,10444,127114,119261,127114,256,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
47,107,0.307867351019824,0.1298918063110775,0.1779755483071009,0.6281229853630066,0.6241000890731812,0.6241001486778259,407501,46426,124999,120893,124999,512,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
48,44,0.6686216756149574,0.3491080406860069,0.3195136349289506,0.636485755443573,0.6587247252464294,0.6587247848510742,404728,81936,138143,138863,138143,1024,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
49,773,0.117828584699719,0.0166016754742573,0.1012269111363976,0.6276117563247681,0.6230959892272949,0.6230959892272949,405317,10015,119152,122182,119153,2048,PNA,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
50,692,0.109405305341438,0.0280750620144384,0.0813302444197513,0.6294069886207581,0.57460618019104,0.5746062397956848,406390,14283,120926,121763,120926,8,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
51,751,0.1152735342802824,0.0296400472218239,0.0856334890811531,0.6082857251167297,0.6635679602622986,0.6635679006576538,404340,15862,138245,118535,138245,16,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
52,796,0.1150047372005604,0.0347590384549564,0.0802456997721283,0.5960937738418579,0.6530970931053162,0.6530970931053162,406370,17316,138490,115496,138490,24,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
53,260,0.2495697038703494,0.1060183264149559,0.143551381693946,0.6737366914749146,0.6216080784797668,0.6216080188751221,404365,40062,130698,148958,130699,42,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
54,81,0.5921921333560237,0.3386104202270508,0.2535817131289729,0.6192837953567505,0.6851542592048645,0.6851543188095093,403611,91357,164303,138263,164303,64,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
55,799,0.1167924085149058,0.0347633554758849,0.0820290519793828,0.6012223958969116,0.6755611300468445,0.6755611300468445,404433,17481,131440,118329,131440,128,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
56,791,0.1243652941341753,0.0327958003845479,0.0915694942628895,0.6569399833679199,0.622462272644043,0.6224622130393982,403722,17481,125320,140681,125320,256,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
57,93,0.5446325570565683,0.2734930743332262,0.2711394762992858,0.6360615491867065,0.7082961201667786,0.7082960605621338,408547,80400,156009,142956,156009,512,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
58,444,0.1746377965697536,0.0694225288872365,0.1052152672961906,0.6383268237113953,0.6352230906486511,0.6352230906486511,407472,29713,132010,132277,132011,1024,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
59,577,0.1245216811144793,0.039432926873366,0.0850887574531413,0.6101400256156921,0.6972755789756775,0.6972755193710327,404427,20103,141572,139784,141572,2048,GAT,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
60,284,0.2829213998494325,0.1579121766487757,0.1250092246135075,0.6259150505065918,0.6146235466003418,0.1657831370830536,405277,58587,55219,136360,151512,8,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
61,227,0.345421388414171,0.1910918595393498,0.1543295324731756,0.6427096128463745,0.7479795217514038,0.2171630263328552,407610,69297,69459,162364,161602,16,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
62,388,0.2088618429943367,0.1098209216418089,0.099040923151705,0.6614364385604858,0.6427776217460632,0.1220001131296157,407253,46947,42379,153798,162570,24,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
63,777,0.1292653799940038,0.0425976360064965,0.0866677468132089,0.7168119549751282,0.6798167824745178,0.0725589767098426,406918,22741,21319,155375,148083,42,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
64,221,0.3804133402859723,0.2056299523071006,0.1747833951755806,0.6485170125961304,0.6647525429725647,0.1980122625827789,404630,68978,62615,154564,147450,64,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
65,737,0.143950045550311,0.058028006641953,0.0859220420541586,0.6797647476196289,0.6469537019729614,0.0780894458293914,407944,28871,25448,142264,145865,128,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
66,799,0.1374089946128704,0.0546813980407185,0.0827275969584783,0.6613166332244873,0.7156864404678345,0.0792944803833961,407042,27234,25759,150637,144728,256,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
67,124,0.6280667581381622,0.366907166507509,0.2611595859792497,0.6548388004302979,0.6298415064811707,0.336387038230896,403588,109823,108817,156144,171234,512,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
68,280,0.2918866693311267,0.1556479112748746,0.1362387622948046,0.7101309895515442,0.6769434213638306,0.1832674890756607,404771,59034,57853,157567,153625,1024,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
69,674,0.1571382449732886,0.0730791483543537,0.0840590955924104,0.6364930868148804,0.6360947489738464,0.1097839921712875,403595,32654,29892,151014,143451,2048,GCN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
70,165,0.6401566302334821,0.419229525592592,0.2209271018151883,0.6497844457626343,0.6235479116439819,0.6235479712486267,405213,88576,136176,134663,136176,8,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
71,730,0.24192145091516,0.154200289911694,0.0877211603632679,0.6391782164573669,0.7048322558403015,0.7048321962356567,407971,43377,140079,132457,140079,16,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
72,435,0.3506196621612266,0.2192663521236843,0.1313533156889456,0.6492618918418884,0.6880896687507629,0.6880897283554077,409484,59498,126303,131202,126303,24,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
73,762,0.2544008416599697,0.1574381649494171,0.096962683002154,0.6355929374694824,0.6446478366851807,0.6446478366851807,406811,45061,136643,129767,136643,42,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
74,794,0.2339471243045948,0.1178602177677331,0.1160869069231881,0.7749707698822021,0.7009079456329346,0.7009079456329346,409106,39435,142898,138091,142898,64,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
75,189,0.615325888880977,0.4017170408036973,0.2136088439711818,0.6755815744400024,0.6414405703544617,0.6414405703544617,409036,87722,134559,139419,134559,128,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
76,718,0.2383822621239556,0.1545895102730503,0.0837927504380544,0.5832639336585999,0.7640681266784668,0.7640681862831116,405914,46101,144647,121369,144647,256,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
77,794,0.2311341960341842,0.1355050148125048,0.0956291812216794,0.6680994033813477,0.6503719687461853,0.6503719687461853,406827,42261,137796,125896,137796,512,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
78,130,0.7804698767485442,0.5028713835610283,0.2775984988389192,0.683295726776123,0.6028549671173096,0.6028549671173096,406079,101332,129829,140497,129829,1024,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
79,622,0.2877818504086247,0.1785576355457306,0.1092242098516888,0.6185614466667175,0.6795812845230103,0.6795812845230103,405527,50921,140899,130687,140899,2048,GIN,With AC-awareness ($\mathcal{L}_{mae} + \mathcal{L}_{tsm}$)
